name,conferenceName,language,type,year,title,description,link
Milica Mihajlija,VinnytsiaJS,english,,2019,Fast future with WebAssembly,,https://youtu.be/E0xgeZP3dis
Андрей Штадлер,VinnytsiaJS,russian,,2019,Accessibility Through the Eyes of Users,,https://youtu.be/7o4rXQPRC-0
Chris Trzesniewski,VinnytsiaJS,english,,2019,Custom RxJS operators,,https://youtu.be/MwM5T9dWNqw
Lea Verou,KharkivCSS,english,,2019,The Web Design Cheat Code: Using SVG to bridge CSS’ gaps,,https://youtu.be/PNVygpWE4lI
Chris Lilley,KharkivCSS,english,,2019,WebFonts in 2019: Everything Changes,,https://youtu.be/Nb0C8veF_XE
Дмитро Попов,KharkivCSS,russian,,2019,WCAG: вивчаємо основи веб-доступності на практиці,,https://youtu.be/5yc42rjnYtQ
Антон Немцев,KharkivCSS,russian,,2019,Логування продуктивності відповідно до стандартів,,https://youtu.be/TarJKIJFlgA
Никита Дубко,KharkivCSS,russian,,2019,"Houdini — CSS, который JavaScript",,https://youtu.be/xFXCfTHTmoA
Елена Шпилевская,KharkivCSS,russian,,2019,UX як основа усвідомленої верстки,,https://youtu.be/XRtSLTg_q-g
Артём Кобзарь,KharkivJS,russian,,2019,(не|ну)жная монада Either на практике и в теории,,https://youtu.be/S0cCjbWuvzk
Дмитрий Махнёв,KharkivJS,russian,,2019,(не|ну)жная монада Either на практике и в теории,,https://youtu.be/S0cCjbWuvzk
Владимир Рожков,KharkivJS,russian,,2019,Что делать со стеклянным потолком?,,https://youtu.be/6VQUT0lwFSs
Алексей Мигутский,KharkivJS,russian,,2019,Есть ли жизнь после Senior?,,https://youtu.be/CiSLUYwdyac
Илья Климов,KharkivJS,russian,,2019,Взгляд на VueJS изнутри,,https://youtu.be/FaLNqrHYbXg
Наталья Теплухина,KharkivJS,russian,,2019,The magic of RxJS,,https://youtu.be/WLBHVwnAJZ8
Алексей Богачук,KharkivJS,russian,,2019,Solution Architecture и JavaScript,,https://youtu.be/af9W4LPPN7c
Максим Корецкий,KharkivJS,russian,,2019,Front end development and change detection,,https://youtu.be/zK7ah1f6oTU
Максим Безуглый,KharkivJS,russian,,2019,Архитектура и иллюзии. Joker и супергерои JavaScript,,https://youtu.be/reIG6asIWAY
