name,conferenceName,language,type,year,title,description,link
Patrick Kettner,OdessaJS,english,,2018,JavaScript without javascript,,https://youtu.be/QJM538gMc7M
Никита Дубко,OdessaJS,russian,,2018,Houdini - CSS which is JavaScrip,,https://youtu.be/MPaD8N9BrFA
Henning Muszynski,OdessaJS,english,,2018,The ABC of Coded Style Guides,,https://youtu.be/gTjTTnCIG1o
Илья Иванов,OdessaJS,russian,,2018,Advanced React-Native,,https://youtu.be/r3RXPLZ473A
Денис Радин,OdessaJS,russian,,2018,"Mining crypto in browser_ GPU, WebAssembly and all the good things to try",,https://youtu.be/ubvMN_IC8wc
Gabriel Mičko,OdessaJS,english,,2018,WebRTC talk for OdessaJS,,https://youtu.be/10g_krBzymQ
Haroen Viaene,OdessaJS,english,,2018,You’re probably making an API client,,https://youtu.be/Tj1LcjzdVBM
Валентин Бармашин,OdessaJS,russian,,2018,"RxJS in React, RxJS in Angular and why we all should be friends",,https://youtu.be/Ix9r6iFCk3w
Ivan Jovanovic,OdessaJS,english,,2018,Introduction to Micro Frontends,,https://youtu.be/hNqruwzdT4Q
Леонид Байда,OdessaJS,urkanian,,2018,Flow typing: your path from experiments to final...,,https://youtu.be/aEcTnCchHFY
Олександр Скачков,OdessaJS,russian,,2018,WebAssembly vs JavaScript: What is faster?,,https://youtu.be/yhyGVx4qqLM
Роман Савицкий,OdessaJS,russian,,2018,Chrome Dev Tools. New & Tips,,https://youtu.be/9rrjV5T5md4
Валерий Сорокобатько,OdessaJS,russian,,2018,Passing strings using (in)finite-state-machine and prepack,,https://youtu.be/0LCVzgQu4Xs
Patrick Kettner,OdessaJS,english,,2018,Creating magic with houdini,,https://youtu.be/WG14sHR3fH4
Радослав Станков,OdessaJS,english,,2018,React Refactoring Patterns,,https://youtu.be/bb9Qbybcr64
Александра Шинкевич,OdessaJS,russian,,2018,Development standards: a step-by-step guide to implement it without pain,,https://youtu.be/Bf2ZUsBdCn4
Asim Hussain,OdessaJS,english,,2018,How to scale an SPA to 1M views for $1?,,https://youtu.be/z2WkmCeXdOo
Виктор Турский,OdessaJS,russian,,2018,How to create a VR application with React,,https://youtu.be/lrjRZc2YVG4
Иван Гончаров,OdessaJS,urkanian,,2018,W.T.F. is GraphQL?,,https://youtu.be/XkTPAY2gsNo
Денис Артюхович,OdessaJS,russian,,2018,Evolution of Web Performance,,https://youtu.be/gNw1g_yib4Q
Артем Захарченко,OdessaJS,russian,,2018,What happens when you don't write the code...,,https://youtu.be/jwRSMbaArj4
Денис Стоянов,OdessaJS,russian,,2016,Rx.js пожоще,,https://youtu.be/Tguv7h3rnQE
Вячеслав Слинько,OdessaJS,russian,,2016,"Relay internals, such as cache algorithm, garbage collector, algorithm of applying optimistic updates",,https://youtu.be/mOD5nFc-_ek
Вадим Макеев,OdessaJS,russian,,2016,Можно вообще всё. Раскладка по гриду,,https://youtu.be/VndU9asBYmc
Артем Тритяк,OdessaJS,russian,,2016,Data fetching в React.js,,https://youtu.be/q2uIJOrEXuQ
Алексей Мигуцкий,OdessaJS,russian,,2016,Ребрендинг в продакшене,,https://youtu.be/gfO2i9p8XSo
Александр Завьялов,OdessaJS,russian,,2016,"Пишем код, тягаем штангу",,https://youtu.be/QvOpA1ZgRqQ
Martin Naumann,OdessaJS,english,,2016,"WebGL, basic computer graphics for frontend devs",,https://youtu.be/9VvMFz0-DKE
Виктор Грищенко,OdessaJS,russian,,2016,Sync: rocket science explained,,https://youtu.be/vBmPjWbB2Zs
Сергей Поплавский,OdessaJS,russian,,2016,IoT Real time dashboards with signalR,,https://youtu.be/1pkzx0Cs8iE
Андрей Кучеренко,OdessaJS,russian,,2016,SmartHouse & IoT,,https://youtu.be/51I9ljAWVkg
Алексей Орленко,OdessaJS,russian,,2016,"Об оверхеде, который вас убивает",,https://youtu.be/LYqhH2Rk-K4
Анна Орлова,OdessaJS,russian,,2016,Как подготовиться к собеседованию в ИТ-компанию,,https://youtu.be/egeMl5jisaI
Александр Труш,OdessaJS,russian,,2016,Elm: functional programming in your browser,,https://youtu.be/hxCjNLsg2j4
Дмитрий Тинитилов,OdessaJS,russian,,2016,Progressive Web Apps,,https://youtu.be/e7rbmgZM9b8
Денис Зайченко,OdessaJS,russian,,2016,Angular 2 Universe,,https://youtu.be/_OFTSRFw7K4
Дмитрий Гусев,OdessaJS,russian,,2016,Node.js вширь и вглубь,,https://youtu.be/NZCXrSnpEfs
Дмитрий Малеев,OdessaJS,russian,,2016,"Архитектура, или как мы куда-то не туда пошли",,https://youtu.be/UtqU8geTQ0I
Николай Кожухаренко,OdessaJS,russian,,2016,Koa.js as an alternative to Express,,https://youtu.be/MFh4YOV5Zj4
Юрий Шевцов,OdessaJS,russian,,2016,Internet of things в офисе,,https://youtu.be/7LGrDbZ3Kh8
Александр Лябах,OdessaJS,russian,,2016,What professionals can learn from coding games?,,https://youtu.be/00_UFw0elIY
Ингвар Степанян,OdessaJS,russian,,2016,Intro to Optimizing Compilers,,https://youtu.be/9EhZJ8nx__c
Филипп Шурпик,OdessaJS,russian,,2016,Offline first in React Native and Redux,,https://youtu.be/SSt_9HxVHf0
Сергей Рубанов,OdessaJS,russian,,2016,Что не так с web и как с этим жить,,https://youtu.be/qUxpEeI5vw8
Николай Беличук,OdessaJS,russian,,2016,Карты и картографические сервисы,,https://youtu.be/b_wnjn1iWEQ
Ксения Редунова,OdessaJS,russian,,2016,"ECMAScript: past, present and future",,https://youtu.be/PK1xM1yqXpM
Кирилл Яковенко,OdessaJS,russian,,2016,Стринги,,https://youtu.be/WX-I3lyiUGE
Андрей Кучеренко,OdessaJS,russian,,2015,Connect physical world to the Internet with JavaScript,,https://youtu.be/zwZNaj998tg
Максим Крячко,OdessaJS,russian,,2015,Connect physical world to the Internet with JavaScript,,https://youtu.be/zwZNaj998tg
Юлия Пшинко,OdessaJS,russian,,2015,12 ошибок Frontend разработчика или как оптимизировать готовый продукт,,https://youtu.be/VLbFbU488kI
Сергей Бережной,OdessaJS,russian,,2015,Мастер-класс: строим сервис по БЭМ,,https://youtu.be/9VvmzwljkdM
Николай Беличук,OdessaJS,russian,,2015,Front-end Security,,https://youtu.be/4mldBI_xSPw
Андрей Кучеренко,OdessaJS,russian,,2015,Разработка через тестирование на Javascript,,https://youtu.be/UEDGvBmrgJ0
Тимур Шемсединов,OdessaJS,russian,,2015,Как исправить ошибку в NodeJS и нечаянно поднять производительность в 2 раза,,https://youtu.be/Q8ohKdYrpRA
Ксения Редунова,OdessaJS,russian,,2015,Marionette. Shall we dance?,,https://youtu.be/O0VsEq2GsHA
Дмитрий Малеев,OdessaJS,russian,,2015,"Учи разные языки! Будь мужиком, Карл",,https://youtu.be/NdU1DrcrsdY
Вячеслав Ворончук,OdessaJS,russian,,2015,Структура проекта и разработка модулей на Meteor.js,,https://youtu.be/0ZoYNt8xGj4
Виктор Зозуляк,OdessaJS,russian,,2015,Service Worker - Bringing Native App Experience To Web Apps,,https://youtu.be/Zo5leNzBbOc
Андрей Пазняк,OdessaJS,russian,,2015,Применяем однонаправленный поток данных за пределами экосистемы ReactJS,,https://youtu.be/fSpwFiwRYME
Евгений Обрезков,OdessaJS,russian,,2015,"Как устроен NodeJS (V8, libuv, async, bindings)",,https://youtu.be/yKU6K1i5i6o
Маргарита Остапчук,OdessaJS,russian,,2015,Сила JS в облаке Azure,,https://youtu.be/wBKr4J5an5E
Илья Касьяненко,OdessaJS,russian,,2015,WebRTC - real-tim​e communications,,https://youtu.be/fOthkw5lp2Q
Алексей Швайка,OdessaJS,russian,,2015,Chrome internals & rendering performance,,https://youtu.be/FZwmEb4H5ew
Артем Захарченко,OdessaJS,russian,,2015,"Пацаны, го в бекграунд",,https://youtu.be/B6gSYKKgus4
Андрей Листочкин,OdessaJS,russian,,2015,Ember+Redux - вместе веселей,,https://youtu.be/wqt_kyrumfM
Артем Тритяк,OdessaJS,russian,,2015,React Native,,https://youtu.be/G74sB7OXliQ
Филипп Шурпик,OdessaJS,russian,,2015,React Native & Reflux,,https://youtu.be/sR2cwJXNNq4
Алексей Распопов,OdessaJS,russian,,2015,First-class programming,,https://youtu.be/RoUt1V9MYzo
Илья Сегеда,OdessaJS,russian,,2015,"React, Flux и правильные абстракции",,https://youtu.be/hrt8ceKCMvg
Сергей Татаринцев,OdessaJS,russian,,2014,Тестирование CSS-регрессий с Gemini,,https://youtu.be/k0RDoEBqeU8
Максим Климишин,OdessaJS,russian,,2014,Javascript и иновации,,https://youtu.be/qTm6wgCVGlQ
Андрей Листочкин,OdessaJS,russian,,2014,Секретный доклад,,https://youtu.be/4t6c7G7gjTI
Дмитрий Тарасенко,OdessaJS,russian,,2014,Javascript Quest,,https://youtu.be/0xN8dYmYJFU
Вадим Рубан,OdessaJS,russian,,2014,Building realtime,,https://youtu.be/4o9InQSWnbw
Антон Яценко,OdessaJS,russian,,2014,There is no View we are looking for,,https://youtu.be/u11yWeTuPfc
Эльдар Джафаров,OdessaJS,russian,,2014,Node js Practical Guide,,https://youtu.be/NW8xjOc0_uU
Дмитрий Охрименко,OdessaJS,russian,,2014,Асинхронное программирование Deferred и Promises,,https://youtu.be/6iRO2NPmxMs
Андрей Кучеренко,OdessaJS,russian,,2014,Java Script и качество кода,,https://youtu.be/b3YT6-6egVM
Эльдар Джафаров,OdessaJS,russian,,2014,React JS Паттерны разработки,,https://youtu.be/30Ip4N7o9u8
Ингвар Степанян,OdessaJS,russian,,2014,Что то про трансформацию JS,,https://youtu.be/2rOUDjM9kBA
Александр Бойченко,OdessaJS,russian,,2014,Производительность Client Side,,https://youtu.be/NickLGiKjZo
Валентин Шибанов,OdessaJS,russian,,2014,Angular JS at enterprise,,https://youtu.be/Q56FtS0OzuA
Артем Тритяк,OdessaJS,russian,,2014,Что-то о юнит тестировании,,https://youtu.be/Pg45eGbicFk
Ксения Редунова,OdessaJS,russian,,2014,Визуализируем стильно с D3 js,,https://youtu.be/JjHwPIF1xwE
Андрей Листочкин,OdessaJS,russian,,2014,Ember js Назад в будущее,,https://youtu.be/yIIdnEDtgiU
Иван Стеценко,ChernivtsiJS,russian,,2016,React: Yet another awsm Van Helsing,,https://youtu.be/qf4inu-IZho
Андрей Костецкий,ChernivtsiJS,ukranian,,2016,JavaScript Reflection: Що далі?,,https://youtu.be/FPIw8U33Lmo
Денис Довгань,ChernivtsiJS,ukranian,,2016,Shells written in JavaScript,,https://youtu.be/lfsMW8cXVZc
Иван Стеценко,ChernivtsiJS,russian,,2016,Давайте сделаем МІТ в Украине,,https://youtu.be/fw3QSwrFNz4
Сергей Борейко,ChernivtsiJS,ukranian,,2016,Nothing new about Electron,,https://youtu.be/0FpqKS3KYsw
Алексей Швайка,ChernivtsiJS,russian,,2016,Authoring web components workshop,,https://youtu.be/wfoO1MNoXsU
Александр Лапшин,ChernivtsiJS,russian,,2017,Peg.js and writing custom grammar parser,,https://youtu.be/N5b1PhV5uXM
Владимир Стельмах,ChernivtsiJS,russian,,2017,"Мобильные приложения на JS. Как, зачем, почему бы и нет?",,https://youtu.be/AzCJ85gvxKU
Андрей Костецкий,ChernivtsiJS,ukranian,,2017,Програмування мікроконтроллерів на JavaScript,,https://youtu.be/W87BWO31Diw
Артем Яворский,ChernivtsiJS,russian,,2017,How to keep node_modules huge with Babel,,https://youtu.be/tmEWfrQhea8
Татьяна Сахарова,ChernivtsiJS,russian,,2017,Как начать использовать современные технологии на legacy-проекте,,https://youtu.be/H8ffNFP9cu0
Антон Немцев,ChernivtsiJS,russian,,2017,Что нам стоит дом построить,,https://youtu.be/stdZDiUfWH8
Роман Лютиков,ChernivtsiJS,russian,,2017,Optimizing Compilers,,https://youtu.be/JHlT6kwDuUU
Игорь Зенич,ChernivtsiJS,russian,,2017,Bootstrap: как правильно и что нового в 4-ке,,https://youtu.be/zJJka2Z9r5I
Алексей Швайка,ChernivtsiJS,russian,,2017,Shipping new RegExp features,,https://youtu.be/-T2c0GVmn-o
Кирилл Яковенко,ChernivtsiJS,russian,,2017,Styles in the world of components,,https://youtu.be/HIwDrTKo_08
Антон Яценюк,ChernivtsiJS,ukranian,,2018,How to adopt a project with stack which you don't know,,https://youtu.be/N7Jcnd9n8m8
Aleksandar Simovic,ChernivtsiJS,english,,2018,Serverless for frontend developers,,https://youtu.be/4xLis-ca4QY
Vasilika Klimova,ChernivtsiJS,english,,2018,This terrible word Deadline,,https://youtu.be/LLGUAyWZhjc
Илья Иванов,ChernivtsiJS,russian,,2018,Как React-Native перевернул наше представление о нативных приложениях,,https://youtu.be/99Z9Q6jHfhg
Анастасия Недбайло,ChernivtsiJS,russian,,2018,Angular applications with Redux,,https://youtu.be/mMdHbr5aw0o
Терри Сагайдак,ChernivtsiJS,ukranian,,2018,Life with Expo.io,,https://youtu.be/mn6bDJ4w9mI
Сергей Рубанов,ChernivtsiJS,russian,,2018,Просто о WebAssembly,,https://youtu.be/anVHSZtJhfc
Елена Жукова,ChernivtsiJS,russian,,2018,О дивный новый JS–мир,,https://youtu.be/uNKuJANi4RU
Антон Немцев,ChernivtsiJS,russian,,2018,Make checkout great again,,https://youtu.be/EZofZgflsDk
Алексей Мигуцкий,OdessaJS,russian,,2013,Автоматизируй,,https://youtu.be/SIyjLRi2CH0
Алик Духно,OdessaJS,russian,,2013,Производительный JavaScript,,https://youtu.be/IdK-JBkOunQ
Андрей Листочкин,OdessaJS,russian,,2013,NodeJS - за гранью здравого смысла,,https://youtu.be/7kESAf-jXY8
Александр Соловьев,OdessaJS,russian,,2013,FRP & ClojureScript,,https://youtu.be/H6LClcuQ7A8
Артем Захарченко,OdessaJS,russian,,2013,"JS scalable architecture. Kernel, ScallApp, Aura",,https://youtu.be/UXl05PChEAw
Дмитрий Миндра,OdessaJS,russian,,2013,TypeScript ннада?,,https://youtu.be/A745198_1FQ
Эльдар Джафаров,OdessaJS,russian,,2013,Your project tested. nodejs,,https://youtu.be/LWX8kQ4bvas
Егор Львовский,OdessaJS,russian,,2013,"Dart, в яблочко",,https://youtu.be/K4uKvU_aQXY
Вячеслав Потравный,OdessaJS,russian,,2013,ChaplinJS или чего нам не хватает в Backbone,,https://youtu.be/0-CxgPLHs3Q
Алексей Швайка,KharkivJS,russian,,2015,Web Animations tomorrow,,https://youtu.be/BFyxf4-PpvI
Сергей Рубанов,KharkivJS,russian,,2015,WebAssembly,,https://youtu.be/eWF_1nMM5Yo
Андрей Вандакуров,KharkivJS,russian,,2015,Javascript debugging Know your enemy,,https://youtu.be/yC43rba4VOg
Александр Рысенко,KharkivJS,russian,,2015,Обнаружение сервисов в nodejs,,https://youtu.be/jlFAZn0Mk2E
Денис Кузин,KharkivJS,russian,,2015,Интеграция режима одновременной работы в действующий проект,,https://youtu.be/q-Uqb3cAgjA
Александр Лапшин,KharkivJS,russian,,2015,Лабиринты и JS — потому что не могу,,https://youtu.be/jhuAJoBg7js
Максим Климишин,KharkivJS,russian,,2015,Reliable systems with unreliable components,,https://youtu.be/AnJzUreK-Xc
Владимир Воевидка,KharkivJS,ukranian,,2015,How Browser Works?,,https://youtu.be/DPqTnBZx5fc
Георгий Подсветов,KharkivJS,russian,,2015,Decomposition of JavaScript engineer,,https://youtu.be/sh0vLXNPW2Y
Вячеслав Слинько,KharkivJS,russian,,2015,Relay и Falcor — будущее?,,https://youtu.be/bpn8u7KYMSg
Кирилл Яковенко,KharkivJS,russian,,2015,The amazing universe of components,,https://youtu.be/QE8wnZ1SbOs
Юрий Лучанинов,KharkivJS,russian,,2015,Немного о js приложениях на мобильных устройствах,,https://youtu.be/ZDH_N0bdDrM
Артем Бей,KharkivJS,russian,,2015,"REST Level 3, HATEOAS, JSON API",,https://youtu.be/MmyvNUAnI64
Илья Сегеда,KharkivJS,russian,,2015,Почему Реакт и Флюкс это хорошо,,https://youtu.be/zUWn_WSNHBY
Андрей Гершун,KharkivJS,russian,,2015,Компиляторы,,https://youtu.be/wabHD8fZUmw
Андрей Листочкин,KharkivJS,russian,,2015,Anti hype как не гнаться за технологиями и начать жить,,https://youtu.be/xPFRUM_oDKA
Эльдар Джафаров,KharkivJS,russian,,2015,Promise Pipe,,https://youtu.be/_HoOYqpTAlM
Ярослав Сергеев,KharkivJS,russian,,2015,Как Webpack сделал меня счастливее,,https://youtu.be/rKd23pit8Xw
Валерий Сорокобатько,KharkivJS,russian,,2015,ES6 Angular flow,,https://youtu.be/-p8ZrC6-GkI
Евгений Обрезков,KharkivJS,russian,,2015,Готовим REST API со скоростью BaaS,,https://youtu.be/utn7pL0nUiM
Илья Климов,KharkivJS,russian,,2015,"Nashorn, SquirellFish, v8, ускоряем зоопарк",,https://youtu.be/tXfSQL3RkPQ
Виктор Турский,KharkivJS,russian,,2015,Боль и радость создания изоморфных приложений на ReactJS,,https://youtu.be/eLNvsvNZKX8
Алексей Ященко,KharkivJS,russian,,2015,Frontend monitoring at Grammarly data driven solution for quality control of frontend products,,https://youtu.be/FVDQUzq8g7o
Антон Яценко,KharkivJS,russian,,2015,15 лет Frontend'а,,https://youtu.be/oEwhRvh-o6M
Евгений Обрезков,KharkivJS,russian,,2016,How does V8 optimize JavaScript code,,https://youtu.be/wwt6LDEeTfM
Алексей Швайка,KharkivJS,russian,,2016,Better async code with promises,,https://youtu.be/zOhvH4dslF4
Алексей Богачук,KharkivJS,russian,,2016,Reactive Programming with RxJS,,https://youtu.be/r1BD4TEL6Yc
Роман Лютиков,KharkivJS,russian,,2016,"ClojureScript, что ты такое?",,https://youtu.be/ChxMUwSTEWc
Дмитрий Малеев,KharkivJS,russian,,2016,У нас в архитектуре все не очень,,https://youtu.be/dq9aKdUbBoE
Ярослав Сергеев,KharkivJS,russian,,2016,Imagine it,,https://youtu.be/MsyIf2sYYhU
Juho Vepsäläinen,KharkivJS,english,,2016,React API design,,https://youtu.be/1niBVCLfAGI
Денис Довгань,KharkivJS,ukranian,,2016,Shells written in JavaScript,,https://youtu.be/ijXfFu61XH0
Paul Miller,KharkivJS,russian,,2016,How to become famous with GitHub and open-source,,https://youtu.be/sVbNF6zp3lY
Георгий Подсветов,KharkivJS,russian,,2016,JavaScript and offline business. Next big deal,,https://youtu.be/lam0mteyz1I
Сергей Рубанов,KharkivJS,russian,,2016,Moving Web forward: Part I — ECMAScript 201x,,https://youtu.be/pjDpN3nRpdc
Юрий Лучанинов,KharkivJS,russian,,2016,Angular Native,,https://youtu.be/jTxT95injrE
Вадим Макеев,KharkivJS,russian,,2016,I’m in IoT,,https://youtu.be/LuLB6xj1rpQ
Денис Стоянов,KharkivJS,russian,,2016,Deal with async programming,,https://youtu.be/0ZcCPX6uT5c
Юрий Плугатарев,KharkivJS,english,,2016,Iframe rampage. Sad story of one integration,,https://youtu.be/6R7H_Jboaf8
Филипп Шурпик,KharkivJS,english,,2016,React Native. Way to production,,https://youtu.be/b88ySmEwoG0
Андрей Шумада,KharkivJS,english,,2016,Error handling in Node.js streams,,https://youtu.be/FlyYgwqLzig
Вячеслав Слинько,KharkivJS,russian,,2016,Static typing in browser,,https://youtu.be/5dHFRt8aMiA
Ингвар Степанян,KharkivJS,english,,2016,Compilers/V8,,https://youtu.be/BOpvsHZehiA
Илья Климов,KharkivJS,english,,2016,"Flow, why should fall in love with it",,https://youtu.be/GEo3XIJw8HM
Juho Vepsäläinen,KharkivJS,english,,2016,Advanced webpack,,https://youtu.be/sWzTtYKDCnE
Алексей Швайка,KharkivJS,english,,2016,Better Web Components with membranes,,https://youtu.be/TgFFsaETKrA
Денис Радин,KharkivJS,english,,2016,Porting Web Application to Virtual Reality,,https://youtu.be/Fen3AS7SAPk
Андрей Листочкин,KharkivJS,english,,2016,Next,,https://youtu.be/Z37W65etPg4
Максим Онуфриенко,KharkivJS,russian,,2016,Testing well. Stop shooting yourself in the foot,,https://youtu.be/qNdHchzY-dQ
Евгений Нежута,KharkivJS,english,,2016,JS in IoT,,https://youtu.be/a2_keSbEgIM
Иван Лаврив,KharkivJS,english,,2016,Exploring ML in javaScript world,,https://youtu.be/4EFQDKtDAUY
Валерий Сорокобатько,KharkivJS,russian,,2017,What is CSSinJS?,,https://youtu.be/snO_fDxy3cY
Владимир Дашукевич,KharkivJS,russian,,2017,Тайны зеленого замочка,,https://youtu.be/VufUKONzZdM
Денис Довгань,KharkivJS,urkanian,,2017,A crash-course into virtual reality for web-developers,,https://youtu.be/KBFEWnnjhKg
Денис Радин,KharkivJS,russian,,2017,Pixel shaders for Web developers,,https://youtu.be/TjcfdEshH4w
Тимур Шемсединов,KharkivJS,russian,,2017,Асинхронное программирование на JS и Node.js,,https://youtu.be/VdRhAXnfrd0
Алексей Бахачук,KharkivJS,russian,,2017,Security: Vulnerabilities in your application,,https://youtu.be/DG_fWHeGjXI
Asim Hussain,KharkivJS,english,,2017,Security,,https://youtu.be/A3MPD_zl_Ms
Aleksandar Simovic,KharkivJS,english,,2017,Effortless Serverless,,https://youtu.be/eoNPvQeqMZw
Сергей Попов,KharkivJS,russian,,2017,А что если мы долетим и там будет всё?,,https://youtu.be/DYyWpZ8XRho
Илья Климов,KharkivJS,russian,,2017,Copy-pASTe,,https://youtu.be/dyvPGRor-Q0
Максим Климишин,KharkivJS,russian,,2017,"Groupware Systems for fun and profit CRDT, OT, Offline",,https://youtu.be/xEZwd5Tu3oM
Владими Воевидка,KharkivJS,ukranian,,2017,Что нужно знать о логах,,https://youtu.be/wrP5pNtOr9A
Алексей Гурьянов,KharkivJS,russian,,2017,CerebralJS - A declarative state and side effects management solution for popular JavaScript frameworks,,https://youtu.be/aGcXmFj0RYc
Максим Юзва,KharkivJS,russian,,2017,Soft Skills,,https://youtu.be/KB50Idc9ags
Виктор Турский,KharkivJS,russian,,2017,The working architecture of NodeJS applications,,https://youtu.be/Z08xL-oXMh0
Артем Денисов,KharkivJS,russian,,2017,Taking care of performance easiest than ever,,https://youtu.be/M5l-3z0Aulg
Дмитрий Поддубный,KharkivJS,russian,,2017,Нужен ли Вам React SSR ?,,https://youtu.be/d-LzDQbvZxs
Андрей Музалевский,KharkivJS,russian,,2017,Testing in Cloud,,https://youtu.be/IlEKMx0IS5c
Стас Гаврилов,KharkivJS,russian,,2017,Browser APIs you should not live without,,https://youtu.be/R4J2-ubrgxs
Андрей Костецкий,KharkivJS,ukranian,,2017,Программирование микроконтроллеров на JavaScript,,https://youtu.be/iHsslg8ppKw
Георгий Подсветов,KharkivJS,russian,,2017,How to become a techlead,,https://youtu.be/st98ADflBoQ
Евгений Жарков,KharkivJS,russian,,2017,Burn your grass with React Native,,https://youtu.be/hsKDpkYRpB4
Виталий Ратушный,KharkivJS,russian,,2017,VueJS 3 cases of usage,,https://youtu.be/FpMEA7GUl-g
Елена Шаровар,KharkivJS,russian,,2017,Polymer – разработка приложений,,https://youtu.be/Xi_eauNC_3E
Николай Латоцкий,KharkivJS,russian,,2017,NodeJS Error Handling,,https://youtu.be/ytatJN8yYn4
Олег Слободской,KharkivJS,russian,,2017,UVP and the future of CSSinJS,,https://youtu.be/i1rDywKSMIk
Владимир Поляков,KharkivJS,russian,,2017,How to be a 10x JavaScript developer,,https://youtu.be/JZuPYu5m6mo
Максим Бугай,KharkivJS,russian,,2017,Activity tracking for UX protection,,https://youtu.be/gHDmFFaRQts
Екатерина Лизогубова,KharkivJS,russian,,2017,React i18n done right,,https://youtu.be/R_OzpLIdxaM
Юлия Савинкова,KharkivJS,russian,,2017,"Three js, Back to the Future",,https://youtu.be/E8qZeDHxnt8
Александр Павлыщ,KharkivJS,russian,,2017,Visual regression testing with BackstopJS,,https://youtu.be/QBNrb3ZAlZo
Дмитрий Калинин,KharkivJS,russian,,2017,Polimerisation of Web Components,,https://youtu.be/2wddU0XH92s
Игорь Алексеенко,KharkivJS,russian,,2018,Взгляд на решение программистских задач через призму футбола,,https://youtu.be/tsX9gqmKtnM
Илья Климов,KharkivJS,russian,,2018,Кодогенерация в JavaScript,,https://youtu.be/szIOPA_uwUc
Вадим Макеев,KharkivJS,russian,,2018,Семантика для циников,,https://youtu.be/Ptt5Se7vyZA
Роман Якобчук,KharkivJS,russian,,2018,A tale of one request. How Internet works under the hood,,https://youtu.be/uXXdYCd93F8
Leon Revill,KharkivJS,english,,2018,Think Web Components before Frameworks,,https://youtu.be/CKy8tKMOP4c
David Mihal,KharkivJS,english,,2018,Supercharge your React Apps with Meteor,,https://youtu.be/ZJ6EXJAP4kg
Валерий Сорокобатько,KharkivJS,russian,,2018,Developer Experience на примере React компонентов,,https://youtu.be/Fe5I41V-5bQ
Тимур Шемсединов,KharkivJS,russian,,2018,Карта знаний инженера программиста,,https://youtu.be/_s2WkaZJ0xQ
Сергей Фролов,KharkivJS,russian,,2018,Вы все ещё сидите на докладах!?,,https://youtu.be/e-vPQeGRw9k
Владимир Агафонкин,KharkivJS,russian,,2018,Fast by default: everyday algorithmic thinking for developers,,https://youtu.be/TesnXS0HeDw
Сергей Бабич,KharkivJS,ukranian,,2018,WebComponents: how to live with them and without frameworks?,,https://youtu.be/rqk9Kd7JRJI
Karol Przystalski,KharkivJS,english,,2018,Machine learning and JavaScript,,https://youtu.be/HzwrEjBQw00
Виктор Турский,KharkivJS,russian,,2018,Практика информационной безопасности или 8 взломов за 30 минут,,https://youtu.be/kwPELSlAbdw
Всеволод Радионов,KharkivJS,russian,,2018,"Paranoid Service Worker: повесть о безопасности, стандартах и страхах",,https://youtu.be/rchbC7RHonw
Артем Кобзарь,KharkivJS,russian,,2018,"""True"" functional programming with JS",,https://youtu.be/XCY0MWor_jw
Иван Гончаров,KharkivJS,urkanian,,2018,W.T.F. is GraphQL?,,https://youtu.be/GMFPu5Ee9Zs
Виталий Акимов,KharkivJS,russian,,2018,Async Generators: Новые возможности для архитектуры Web-приложений,,https://youtu.be/3IWV_rfxdYI
Тимур Глушан,KharkivJS,russian,,2018,WebAssembly: brand new web coming,,https://youtu.be/vJoSP5bH2AM
Юрий Лучанинов,KharkivJS,russian,,2018,Flutter - серебряная пуля мобильной разработки,,https://youtu.be/Y3kk4Qu79Qc
Артем Яворский,KharkivJS,russian,,2018,Know your audience or how to bundle less,,https://youtu.be/NtzZzx5e8vo
Виталий Киктов,KharkivJS,russian,,2018,React 360 - virtual reality at the click distance,,https://youtu.be/VZFrVDQTgv0
Сергей Кошман,KharkivJS,russian,,2018,here canvas will provide benefits to your expirience,,https://youtu.be/nOaopvS0gJ0
Сергей Костырко,KharkivJS,russian,,2018,"Big and complex React project - Redux? Nope, let's MobX!",,https://youtu.be/jO30e_w-4fo
Евгений Жарков,KharkivJS,russian,,2018,Create React Native App vs Expo vs Your Hands,,https://youtu.be/4LKw-fK52NU
Николай Латоцкий,KharkivJS,russian,,2018,When should I start writing my unit tests ?,,https://youtu.be/LpE4vuJnCcA
Николай Матвиенко,KharkivJS,russian,,2018,High throughput in Node with decomposition and parallelization of the Main Thread,,https://youtu.be/I-FcjLx9D9g
Аркадий Пильгук,KharkivJS,russian,,2018,Computer Vision in JS,,https://youtu.be/g5KmhHSFHd0
Роман Савицкий,KharkivJS,ukranian,,2018,Chrome Dev Tools: debug me!,,https://youtu.be/rwVNznU4edc
Денис Радин,KharkivJS,russian,,2018,AAA 3d graphics + React,,https://youtu.be/57hMzrvZEsE
Александр Шушунов,KharkivJS,russian,,2018,Мы затащили Flow в большой проект и …,,https://youtu.be/D7AfHAeFpLA
Сергей Больщиков,KharkivJS,russian,,2018,Team Lead! Care about your devs!,,https://youtu.be/A5sEEncsduo
Алексей Стрельников,KharkivJS,russian,,2018,Not tech presentation-dialog about developer lifecycle,,https://youtu.be/cKD4-17IDQg
Артем Тритяк,LvivJS,russian,,2015,"React Native from scratch: start, build and launch",,https://youtu.be/pvl9kBKcXzY
Андрей Листочкин,LvivJS,russian,,2015,Staying Productive with Ember,,https://youtu.be/tCG3lOBh22k
